full_text,image_url,ocr_text,combined_text,processed_combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
"Main game battle royale rank tinggi memory di iPhone 16 ini gak nyaman performanya, performanya turun naik memory di rank tertinggi dan grafisnya burik memory meski digunakan hanya sebentar.""",0,,"Main game battle royale rank tinggi memory di iPhone 16 ini gak nyaman performanya, performanya turun naik memory di rank tertinggi dan grafisnya burik memory meski digunakan hanya sebentar."" ",main game battle royale rank memory nyaman performa performa turun memory rank tinggi grafis burik memory sebentar,0,0,0,0,0,1,0,0,0,0,0,0
"Widget IOS 18 iPhone 16 ini *terlalu static, *gak ada dynamic content, *kurang live information, jadi *terlalu pasif dan kurang berguna.",0,,"Widget IOS 18 iPhone 16 ini *terlalu static, *gak ada dynamic content, *kurang live information, jadi *terlalu pasif dan kurang berguna. ",widget ios static dynamic content live information pasif guna,0,0,0,1,0,0,0,0,0,0,0,0
"Control Center IOS 18 iPhone 16 ini praktis banget, tinggal swipe langsung muncul semua pengaturan penting.",0,,"Control Center IOS 18 iPhone 16 ini praktis banget, tinggal swipe langsung muncul semua pengaturan penting. ",control center ios praktis banget tinggal swipe langsung muncul atur,0,0,0,2,0,0,0,0,0,0,0,0
" iPhone 15 vs. iPhone 16: Chip A18 lebih cepat, kamera lebih baik, baterai lebih lama, dan audio spasial di iPhone 16! Yang mana yang akan Anda pilih? #iPhone16 #TechUpgrade #iPhone15vs16 #Apple https://t.co/YuNVFek4RC https://t.co/WkbFXrslOp",https://pbs.twimg.com/media/GX36bPeW0AAZXeJ.jpg,," iPhone 15 vs. iPhone 16: Chip A18 lebih cepat, kamera lebih baik, baterai lebih lama, dan audio spasial di iPhone 16! Yang mana yang akan Anda pilih? #iPhone16 #TechUpgrade #iPhone15vs16 #Apple https://t.co/YuNVFek4RC https://t.co/WkbFXrslOp ",vs chip a18 cepat kamera baterai audio spasial pilih iphone16 techupgrade iphone15vs16,0,0,0,0,2,0,2,2,0,0,2,0
"Action Button iPhone 16 sulit diakses tanpa latihan,  akses Action Button tanpa melihat tombol tetap butuh pembiasaan dan latihan,  tidak langsung intuitif.",0,,"Action Button iPhone 16 sulit diakses tanpa latihan,  akses Action Button tanpa melihat tombol tetap butuh pembiasaan dan latihan,  tidak langsung intuitif. ",action button sulit akses latih akses action button tombol butuh biasa latih langsung intuitif,0,0,0,0,0,0,0,0,0,1,0,0
"Output low light iPhone 16 tetap banyak noise, foto malam masih kurang jernih dan detail, masih blur.",0,,"Output low light iPhone 16 tetap banyak noise, foto malam masih kurang jernih dan detail, masih blur. ",output low light noise foto malam jernih detail blur,0,0,0,0,0,0,1,0,0,0,0,0
@UTDTrey @CFC_Janty Lol Abad ke-21 dengan safari jaringan iPhone 16 5G Anda terpasang dan media sosial penuh,0,,@UTDTrey @CFC_Janty Lol Abad ke-21 dengan safari jaringan iPhone 16 5G Anda terpasang dan media sosial penuh ,utdtrey cfcjanty lol abad ke21 safari jaring pasang media sosial penuh,0,0,0,0,0,0,0,0,0,0,0,0
"Mode pesawat iPhone 16  mematikan semua koneksi,  gak bisa internetan atau terima telpon,  gak praktis kalau mau hemat baterai tapi tetep butuh koneksi.",0,,"Mode pesawat iPhone 16  mematikan semua koneksi,  gak bisa internetan atau terima telpon,  gak praktis kalau mau hemat baterai tapi tetep butuh koneksi. ",mode pesawat mati koneksi internetan terima telpon praktis hemat baterai butuh koneksi,0,0,0,0,0,0,0,0,0,0,1,0
"Desain bodi iPhone 16 ini failed, Apple udah gak mampu bikin desain yang bagus lagi. Kreativitasnya udah habis.",0,,"Desain bodi iPhone 16 ini failed, Apple udah gak mampu bikin desain yang bagus lagi. Kreativitasnya udah habis. ",desain bodi failed bikin desain bagus kreativitas habis,0,1,0,0,0,0,0,0,0,0,0,0
"Output kamera iPhone 16 sulit diedit, file foto dan video kurang fleksibel dan sulit diedit di beberapa aplikasi editing, raw material kurang bagus.",0,,"Output kamera iPhone 16 sulit diedit, file foto dan video kurang fleksibel dan sulit diedit di beberapa aplikasi editing, raw material kurang bagus. ",output kamera sulit edit file foto video fleksibel sulit edit aplikasi editing raw material bagus,0,0,0,0,0,0,1,0,0,0,0,0
"Tampilan IOS 18 iPhone 16 ini too clean, sterile and impersonal, lack of personalization options.",0,,"Tampilan IOS 18 iPhone 16 ini too clean, sterile and impersonal, lack of personalization options. ",tampil ios too clean sterile and impersonal lack of personalization options,0,0,0,1,0,0,0,0,0,0,0,0
"Pengisian cepat iPhone 16 wajib ada di smartphone modern, pengisian cepat iPhone 16  fitur wajib ada di smartphone modern,  fast charging kebutuhan utama smartphone zaman sekarang.",0,,"Pengisian cepat iPhone 16 wajib ada di smartphone modern, pengisian cepat iPhone 16  fitur wajib ada di smartphone modern,  fast charging kebutuhan utama smartphone zaman sekarang. ",isi cepat wajib smartphone modern isi cepat fitur wajib smartphone modern fast charging butuh utama smartphone zaman,0,0,0,0,0,0,0,0,0,0,2,0
"Mikrofon yang bagus untuk merekam video akustik, suara instrumen vokal, merekam detail alami",0,,"Mikrofon yang bagus untuk merekam video akustik, suara instrumen vokal, merekam detail alami ",mikrofon bagus rekam video akustik suara instrumen vokal rekam detail alami,0,0,0,0,0,0,0,2,0,0,0,0
"Bodi iPhone 16 ini polished banget, kilaunya mewah dan memukau.",0,,"Bodi iPhone 16 ini polished banget, kilaunya mewah dan memukau. ",bodi polished banget kilau mewah pukau,0,2,0,0,0,0,0,0,0,0,0,0
"Histogram output iPhone 16 cepat ditampilkan, histogram mudah ditampilkan di viewfinder untuk menganalisa exposure output foto dan video, instan.",0,,"Histogram output iPhone 16 cepat ditampilkan, histogram mudah ditampilkan di viewfinder untuk menganalisa exposure output foto dan video, instan. ",histogram output cepat tampil histogram mudah tampil viewfinder menganalisa exposure output foto video instan,0,0,0,0,0,0,2,0,0,0,0,0
Streaming musik berkualitas tinggi tanpa buffering mantap,0,,Streaming musik berkualitas tinggi tanpa buffering mantap ,streaming musik kualitas buffering mantap,2,0,0,0,0,0,0,0,0,0,0,0
"Timer duration output iPhone 16 sulit diatur, timer duration sulit diatur optionnya dan kurang efektif untuk menyesuaikan opsi durasi timer pada output foto, tidak simpel.",0,,"Timer duration output iPhone 16 sulit diatur, timer duration sulit diatur optionnya dan kurang efektif untuk menyesuaikan opsi durasi timer pada output foto, tidak simpel. ",timer duration output sulit atur timer duration sulit atur optionnya efektif sesuai opsi durasi timer output foto simpel,0,0,0,0,0,0,1,0,0,0,0,0
WiFi di iPhone 16 lebih pintar dalam memilih sinyal terbaik,0,,WiFi di iPhone 16 lebih pintar dalam memilih sinyal terbaik ,wifi pintar pilih sinyal baik,2,0,0,0,0,0,0,0,0,0,0,0
NFC iPhone 16 aman banget buat transaksi digital! Apple Pay secure dan privasi terjaga.,0,,NFC iPhone 16 aman banget buat transaksi digital! Apple Pay secure dan privasi terjaga. ,nfc aman banget transaksi digital pay secure privasi jaga,0,0,0,0,0,0,0,0,2,0,0,0
Earphone iPhone 16 wireless rentan hilang jika tidak disimpan dengan baik dalam charging case.,0,,Earphone iPhone 16 wireless rentan hilang jika tidak disimpan dengan baik dalam charging case. ,earphone wireless rentan hilang simpan charging case,0,0,0,0,0,0,0,0,0,0,0,1
5G di iPhone 16 bikin pengalaman internetan lebih seamless,0,,5G di iPhone 16 bikin pengalaman internetan lebih seamless ,bikin alam internetan seamless,2,0,0,0,0,0,0,0,0,0,0,0
"USB Type-C iPhone 16 PPS fast charging charger PPS masih mahal dan jarang dijual terpisah, charger bawaan iPhone masih charger biasa.",0,,"USB Type-C iPhone 16 PPS fast charging charger PPS masih mahal dan jarang dijual terpisah, charger bawaan iPhone masih charger biasa. ",usb typec pps fast charging charger pps mahal jarang jual pisah charger bawa charger,0,0,0,0,0,0,0,0,1,0,0,2
"Adaptor casan iPhone 16 desain terlalu standar, tampilan adaptor casan biasa saja dan tidak ada yang menarik, desain adaptor generik.",0,,"Adaptor casan iPhone 16 desain terlalu standar, tampilan adaptor casan biasa saja dan tidak ada yang menarik, desain adaptor generik. ",adaptor cas desain standar tampil adaptor cas tarik desain adaptor generik,0,0,0,0,0,0,0,0,0,0,2,0
"Macro mode magnification range output iPhone 16 gampang diatur, macro mode magnification range mudah diatur options selections untuk menyesuaikan opsi selections range macro mode magnification pada output foto macro, simpel.",0,,"Macro mode magnification range output iPhone 16 gampang diatur, macro mode magnification range mudah diatur options selections untuk menyesuaikan opsi selections range macro mode magnification pada output foto macro, simpel. ",macro mode magnification range output gampang atur macro mode magnification range mudah atur options selections sesuai opsi selections range macro mode magnification output foto macro simpel,0,0,0,0,0,0,2,0,0,0,0,0
"Performa game iPhone 16 andal banget, bisa diandalkan buat push rank di game mobile, yakin menang terus pake iPhone 16!",0,,"Performa game iPhone 16 andal banget, bisa diandalkan buat push rank di game mobile, yakin menang terus pake iPhone 16! ",performa game andal banget andal push rank game mobile menang pakai,0,0,0,0,2,0,0,0,0,0,0,0
"Portrait mode depth control output iPhone 16 sulit diatur, portrait mode depth control sulit diatur levelnya dan kurang efektif untuk mengatur intensitas bokeh pada output foto portrait, tidak simpel.",0,,"Portrait mode depth control output iPhone 16 sulit diatur, portrait mode depth control sulit diatur levelnya dan kurang efektif untuk mengatur intensitas bokeh pada output foto portrait, tidak simpel. ",portrait mode depth control output sulit atur portrait mode depth control sulit atur level efektif atur intensitas bokeh output foto portrait simpel,0,0,0,0,0,0,1,0,0,0,0,0
"Baterai iPhone 16 upgrade signifikan dari sebelumnya, baterai iPhone 16 peningkatan daya tahan baterai signifikan dibanding iPhone generasi sebelumnya, upgrade baterai terasa nyata.",0,,"Baterai iPhone 16 upgrade signifikan dari sebelumnya, baterai iPhone 16 peningkatan daya tahan baterai signifikan dibanding iPhone generasi sebelumnya, upgrade baterai terasa nyata. ",baterai upgrade signifikan baterai tingkat daya tahan baterai signifikan banding generasi upgrade baterai nyata,0,0,0,0,0,0,0,0,0,0,1,0
"Memutuskan untuk mencoba iPhone 16 Pro yang lebih kecil kali ini daripada Pro Max. Saya rasa saya akan menyukai bobot yang 10% lebih rendah dan jangkauan yang lebih mudah (saya bisa menggunakan Pro Max, namun terkadang agak sulit). Jika saya tidak menyukainya, itu hanya untuk setahun.",0,,"Memutuskan untuk mencoba iPhone 16 Pro yang lebih kecil kali ini daripada Pro Max. Saya rasa saya akan menyukai bobot yang 10% lebih rendah dan jangkauan yang lebih mudah (saya bisa menggunakan Pro Max, namun terkadang agak sulit). Jika saya tidak menyukainya, itu hanya untuk setahun. ",putus coba kali suka bobot rendah jangkau mudah terkadang sulit suka tahun,1,2,0,0,0,0,0,0,0,0,0,0
Jaringan WiFi otomatis mencari sinyal terbaik.,0,,Jaringan WiFi otomatis mencari sinyal terbaik. ,jaring wifi otomatis cari sinyal baik,2,0,0,0,0,0,0,0,0,0,0,0
"Speaker penguat bass, mudah diatur, penguat bass, level bass mudah diatur, keluaran suara sederhana",0,,"Speaker penguat bass, mudah diatur, penguat bass, level bass mudah diatur, keluaran suara sederhana ",speaker kuat bass mudah atur kuat bass level bass mudah atur keluar suara sederhana,0,0,0,0,0,0,0,2,0,0,0,0
Volume speaker maksimum untuk mendengarkan podcast di luar ruangan,0,,Volume speaker maksimum untuk mendengarkan podcast di luar ruangan ,volume speaker maksimum dengar podcast ruang,0,0,0,0,0,0,0,2,0,0,0,0
"Level output kamera iPhone 16 mudah ditampilkan, level horizontal dan vertikal mudah ditampilkan di viewfinder untuk menjaga output foto tetap lurus, praktis.",0,,"Level output kamera iPhone 16 mudah ditampilkan, level horizontal dan vertikal mudah ditampilkan di viewfinder untuk menjaga output foto tetap lurus, praktis. ",level output kamera mudah tampil level horizontal vertikal mudah tampil viewfinder jaga output foto lurus praktis,0,0,0,0,0,0,2,0,0,0,0,0
"UI IOS 18 di iPhone 16 terlalu simpel, malah jadi kurang fitur dan *kurang powerful buat yang advance.",0,,"UI IOS 18 di iPhone 16 terlalu simpel, malah jadi kurang fitur dan *kurang powerful buat yang advance. ",ui ios simpel fitur powerful advance,0,0,0,1,0,0,0,0,0,0,0,0
Bluetooth di iPhone 16 susah connect ke headset lama.,0,,Bluetooth di iPhone 16 susah connect ke headset lama. ,bluetooth susah connect headset,1,0,0,0,0,0,0,0,2,0,0,0
"IPhone 16 dan 16 Pro diperkenalkan dengan sedikit perubahan desain, warna baru, dan chip A18. ",0,,"IPhone 16 dan 16 Pro diperkenalkan dengan sedikit perubahan desain, warna baru, dan chip A18.  ",kenal ubah desain warna chip a18,0,1,0,0,1,0,0,0,0,0,0,0
"Desain bodi iPhone 16 zero, inovasi desainnya nol besar. Apple udah gak punya ide desain lagi.",0,,"Desain bodi iPhone 16 zero, inovasi desainnya nol besar. Apple udah gak punya ide desain lagi. ",desain bodi zero inovasi desain nol ide desain,0,1,0,0,0,0,0,0,0,0,0,0
"Kecepatan loading game iPhone 16 ini super cepat, performanya dalam membuka game dan map instan banget, gak pake nunggu lama.",0,,"Kecepatan loading game iPhone 16 ini super cepat, performanya dalam membuka game dan map instan banget, gak pake nunggu lama. ",cepat loading game super cepat performa buka game map instan banget pakai nunggu,0,0,0,0,2,0,0,0,0,0,0,0
"Fitur Dynamic Island untuk baterai iPhone 16 notifikasi dinamis baterai, Dynamic Island menampilkan notifikasi baterai yang dinamis dan interaktif, informasi baterai lebih menarik dan tidak monoton.",0,,"Fitur Dynamic Island untuk baterai iPhone 16 notifikasi dinamis baterai, Dynamic Island menampilkan notifikasi baterai yang dinamis dan interaktif, informasi baterai lebih menarik dan tidak monoton. ",fitur dynamic island baterai notifikasi dinamis baterai dynamic island tampil notifikasi baterai dinamis interaktif informasi baterai tarik monoton,0,0,0,0,0,0,0,0,0,0,2,0
"Lens correction audio output iPhone 16 sulit dipakai, lens correction audio sulit diaktifkan dan kurang efektif untuk mengoreksi distorsi lensa pada output foto dan video dengan audio correction, tidak simpel.",0,,"Lens correction audio output iPhone 16 sulit dipakai, lens correction audio sulit diaktifkan dan kurang efektif untuk mengoreksi distorsi lensa pada output foto dan video dengan audio correction, tidak simpel. ",lens correction audio output sulit pakai lens correction audio sulit aktif efektif koreksi distorsi lensa output foto video audio correction simpel,0,0,0,0,0,0,1,1,0,0,0,0
"iPhone 16 ini lemot di jari kayak siput bunting, semua gesture game sering miss dan gak akurat, *kontrol game jadi kacau balau kayak pemain noob.""",0,,"iPhone 16 ini lemot di jari kayak siput bunting, semua gesture game sering miss dan gak akurat, *kontrol game jadi kacau balau kayak pemain noob."" ",lambat jari kayak siput bunting gesture game miss akurat kontrol game kacau balau kayak main noob,0,0,0,0,1,0,0,0,0,0,0,0
g Beralih ke stasiu+D2:D62n pangkalan LTE,0,,g Beralih ke stasiu+D2:D62n pangkalan LTE ,alih stasiud2d62n pangkal lte,1,0,0,0,0,0,0,0,0,0,0,0
"Navigasi IOS 18 iPhone 16 ini gak ajib, susah, lambat, gak efisien, ribet banget.",0,,"Navigasi IOS 18 iPhone 16 ini gak ajib, susah, lambat, gak efisien, ribet banget. ",navigasi ios ajib susah lambat efisien ribet banget,0,0,0,1,0,0,0,0,0,0,0,0
"Tombol kamera iPhone 16 mudah diakses dengan satu tangan,  posisi tombol kamera memungkinkan pengambilan foto dengan satu tangan lebih mudah.",0,,"Tombol kamera iPhone 16 mudah diakses dengan satu tangan,  posisi tombol kamera memungkinkan pengambilan foto dengan satu tangan lebih mudah. ",tombol kamera mudah akses tangan posisi tombol kamera ambil foto tangan mudah,0,0,0,0,0,0,0,0,0,2,0,0
A18 Pro Lebih Cepat Dari M1! #iPhone16 #iPhone16Pro #iOS18 https://t.co/j4uvsX07hm,https://pbs.twimg.com/media/GXie4CiXkAAYwbu.jpg,"iPhone17,1

3429

Single-Core Score
Geekbench 6.3.0 for iOS AArch64

Result Information

Upload Date

Views

8790

Multi-Core Score

September 12 2024 03:21 PM

149
","A18 Pro Lebih Cepat Dari M1! #iPhone16 #iPhone16Pro #iOS18 https://t.co/j4uvsX07hm iPhone17,1

3429

Single-Core Score
Geekbench 6.3.0 for iOS AArch64

Result Information

Upload Date

Views

8790

Multi-Core Score

September 12 2024 03:21 PM

149
",a18 cepat m1 iphone16 iphone16pro ios18 iphone171 singlecore score geekbench for ios aarch64 result information upload date views multicore score september pm,0,0,0,2,0,0,0,0,0,0,0,0
"iPhone 16 ini lemot di jari kayak kura-kura, unprecise touch control buat imperfect gaming maneuver sering miss input.""",0,,"iPhone 16 ini lemot di jari kayak kura-kura, unprecise touch control buat imperfect gaming maneuver sering miss input."" ",lambat jari kayak kurakura unprecise touch control imperfect gaming maneuver miss input,0,0,0,0,1,0,0,0,0,0,0,0
"Layar iPhone 16 ini too narrow display, lebar layar terlalu sempit, jadi kerasa kecil dan gak puas buat multimedia.",0,,"Layar iPhone 16 ini too narrow display, lebar layar terlalu sempit, jadi kerasa kecil dan gak puas buat multimedia. ",layar too narrow display lebar layar sempit rasa puas multimedia,0,0,1,0,0,0,0,0,0,0,0,0
"Pengisi Daya Pengisian Cepat Terbaik, Kabel USB ke Lightning Premium",0,,"Pengisi Daya Pengisian Cepat Terbaik, Kabel USB ke Lightning Premium ",isi daya isi cepat baik kabel usb lightning premium,0,0,0,0,0,0,0,0,0,0,0,1
"Layar iPhone 16 masih pake notch yang gede, ganggu banget tampilan layar penuh. Ketinggalan jaman.",0,,"Layar iPhone 16 masih pake notch yang gede, ganggu banget tampilan layar penuh. Ketinggalan jaman. ",layar pakai notch gede ganggu banget tampil layar penuh tinggal jaman,0,0,1,0,0,0,0,0,0,0,0,0
"Bodi iPhone 16 nelangsa, desainnya menyedihkan dan jauh dari kata bagus. Apple bikin desain makin parah.",0,,"Bodi iPhone 16 nelangsa, desainnya menyedihkan dan jauh dari kata bagus. Apple bikin desain makin parah. ",bodi nelangsa desain sedih bagus bikin desain parah,0,1,0,0,0,0,0,0,0,0,0,0
"Layar iPhone 16 color accuracy-nya kurang bagus, warnanya agak melenceng dari aslinya. Gak akurat.",0,,"Layar iPhone 16 color accuracy-nya kurang bagus, warnanya agak melenceng dari aslinya. Gak akurat. ",layar color accuracynya bagus warna lenceng asli akurat,0,0,1,0,0,0,0,0,0,0,0,0
"Output kamera iPhone 16 cocok buat konten creator, kualitas gambar dan video profesional dan mendukung berbagai kebutuhan konten kreatif.",0,,"Output kamera iPhone 16 cocok buat konten creator, kualitas gambar dan video profesional dan mendukung berbagai kebutuhan konten kreatif. ",output kamera cocok konten creator kualitas gambar video profesional dukung butuh konten kreatif,0,0,0,0,0,0,2,0,0,0,0,0
"Kecepatan buka aplikasi game iPhone 16 ini selambat dial-up modem, dial-up speed loading time bikin delayed access to gaming world harus nunggu loading screen lama banget bikin bosen.""",0,,"Kecepatan buka aplikasi game iPhone 16 ini selambat dial-up modem, dial-up speed loading time bikin delayed access to gaming world harus nunggu loading screen lama banget bikin bosen."" ",cepat buka aplikasi game lambat alup modem alup speed loading time bikin delayed access gaming world nunggu loading screen banget bikin bosan,0,0,0,0,1,0,0,0,0,0,0,0
"Baterai iPhone 16 awet banget buat ngegame, bisa 5 jam lebih main game berat tanpa ngedrop parah.",0,,"Baterai iPhone 16 awet banget buat ngegame, bisa 5 jam lebih main game berat tanpa ngedrop parah. ",baterai awet banget ngegame jam main game berat ngedrop parah,0,0,0,0,2,0,0,0,0,0,0,0
"Teknologi layar baru iPhone 16 malah bikin boros baterai, daya tahannya jadi berkurang drastis. Gak efektif.",0,,"Teknologi layar baru iPhone 16 malah bikin boros baterai, daya tahannya jadi berkurang drastis. Gak efektif. ",teknologi layar bikin boros baterai daya tahan kurang drastis efektif,0,0,1,0,0,0,0,0,0,0,0,0
Baru upgrade ke paket 5G iPhone 16 menang banyak soal kecepatan,0,,Baru upgrade ke paket 5G iPhone 16 menang banyak soal kecepatan ,upgrade paket menang cepat,2,0,0,0,0,0,0,0,0,0,0,0
"Performa game iPhone 16 stabil, frame rate consistent, gak ada fluktuasi yang ganggu gameplay.",0,,"Performa game iPhone 16 stabil, frame rate consistent, gak ada fluktuasi yang ganggu gameplay. ",performa game stabil frame rate consistent fluktuasi ganggu gameplay,0,0,0,0,2,0,0,0,0,0,0,0
Streaming musik lossless tanpa buffering Bisa banget,0,,Streaming musik lossless tanpa buffering Bisa banget ,streaming musik lossless buffering banget,2,0,0,0,0,0,0,0,0,0,0,0
Prioritas pengambilan objek Output audio Perubahan lambat Prioritas pengambilan objek Prioritas perubahan keras audio Valid Menurut prioritas Output pengambilan objek Foto video Audio Prioritas pengambilan objek Umpan balik langsung,0,,Prioritas pengambilan objek Output audio Perubahan lambat Prioritas pengambilan objek Prioritas perubahan keras audio Valid Menurut prioritas Output pengambilan objek Foto video Audio Prioritas pengambilan objek Umpan balik langsung ,prioritas ambil objek output audio ubah lambat prioritas ambil objek prioritas ubah keras audio valid prioritas output ambil objek foto video audio prioritas ambil objek umpan langsung,0,0,0,0,0,0,0,1,0,0,0,0
"Grafik penggunaan baterai iPhone 16  terlalu teknis dan ribet dibaca,  gak semua pengguna paham maksud grafiknya,  kurang user-friendly.",0,,"Grafik penggunaan baterai iPhone 16  terlalu teknis dan ribet dibaca,  gak semua pengguna paham maksud grafiknya,  kurang user-friendly. ",grafik guna baterai teknis ribet baca guna paham maksud grafik userfriendly,0,0,0,0,0,0,0,0,0,0,1,0
Kualitas kamera pada iPhone 16 pro ini luar biasa,0,,Kualitas kamera pada iPhone 16 pro ini luar biasa ,kualitas kamera,0,0,0,0,0,0,2,0,0,0,0,0
"Performa memory iPhone 16 gak pernah ngecewain memory, selalu konsisten memory dan dapat diandalkan memory.""",0,,"Performa memory iPhone 16 gak pernah ngecewain memory, selalu konsisten memory dan dapat diandalkan memory."" ",performa memory ngecewain memory konsisten memory andal memory,0,0,0,0,0,2,0,0,0,0,0,0
"ProRes video iPhone 16 file sizenya terlalu besar, makan storage banyak dan editing berat di laptop biasa.",0,,"ProRes video iPhone 16 file sizenya terlalu besar, makan storage banyak dan editing berat di laptop biasa. ",prores video file sizenya makan storage editing berat laptop,0,0,0,0,0,0,1,0,0,0,0,0
"Dynamic range output kamera iPhone 16 sempit, detail di area gelap atau terang sering hilang, kurang memuaskan.",0,,"Dynamic range output kamera iPhone 16 sempit, detail di area gelap atau terang sering hilang, kurang memuaskan. ",dynamic range output kamera sempit detail area gelap terang hilang puas,0,0,0,0,0,0,1,0,0,0,0,0
"Output kamera iPhone 16 mudah dibersihkan visualnya, tampilan output foto dan video bersih dan jernih, tidak ada artefak atau noise visual yang mengganggu.",0,,"Output kamera iPhone 16 mudah dibersihkan visualnya, tampilan output foto dan video bersih dan jernih, tidak ada artefak atau noise visual yang mengganggu. ",output kamera mudah bersih visual tampil output foto video bersih jernih artefak noise visual ganggu,0,0,0,0,0,0,2,0,0,0,0,0
"Desain bodi iPhone 16 ini elegant but boring, desainnya terlalu aman dan gak ada inovasi baru yang fresh.",0,,"Desain bodi iPhone 16 ini elegant but boring, desainnya terlalu aman dan gak ada inovasi baru yang fresh. ",desain bodi elegant but boring desain aman inovasi fresh,0,2,0,0,0,0,0,0,0,0,0,0
