full_text,image_url,translated_text,sentiment,ocr_text,combined_text,pred_network,pred_body,pred_display,pred_platform,pred_performance,pred_memory,pred_camera,pred_sound,pred_communications,pred_features,pred_battery,pred_accessories
Main game online suka lag bikin kalah terus,,Playing online games likes to make losing all the time,2,,Main game online suka lag bikin kalah terus ,1,0,0,0,1,0,0,0,0,0,0,0
Sinyal HP sering hilang saat cuaca buruk!,,HP signals often disappear during bad weather!,1,,Sinyal HP sering hilang saat cuaca buruk! ,1,0,0,0,0,0,0,0,0,0,0,0
GPS suka delay saat digunakan buat navigasi!,,GPS likes to delay when used for navigation!,2,,GPS suka delay saat digunakan buat navigasi! ,1,0,0,0,0,0,0,0,0,0,0,0
Sering error pas pakai AirDrop karena sinyal nggak stabil!,,Often errors when using airdrop because the signal is unstable!,1,,Sering error pas pakai AirDrop karena sinyal nggak stabil! ,1,0,0,0,0,0,0,0,0,0,0,0
Jaringan putus saat meeting penting gagal total,,The network broke up when the meeting was important to fail miserably,1,,Jaringan putus saat meeting penting gagal total ,1,0,0,0,0,0,0,0,0,0,0,0
Versi terbaru Internet Nirkabel (Wi-Fi 7 / 802.11be) dirilis pada Jan '24? Dan JAUH lebih cepat dibandingkan Wi-Fi generasi sebelumnya,https://pbs.twimg.com/media/GXcq08MX0AA2GeR.png,The latest version of wireless internet (Wi-Fi 7 / 802.11BE) was released on Jan '24?And much faster than the previous generation Wi-Fi,0,,Versi terbaru Internet Nirkabel (Wi-Fi 7 / 802.11be) dirilis pada Jan '24? Dan JAUH lebih cepat dibandingkan Wi-Fi generasi sebelumnya ,0,0,0,0,0,0,0,0,0,0,0,0
Streaming musik lossless tanpa kendala.,,Streaming lossless music without obstacles.,2,,Streaming musik lossless tanpa kendala. ,2,0,0,0,0,0,0,0,0,0,0,0
"Tiba-tiba nggak bisa connect ke WiFi, harus reset dulu!",,"Suddenly you can't connect to WiFi, you have to reset first!",0,,"Tiba-tiba nggak bisa connect ke WiFi, harus reset dulu! ",0,0,0,0,0,0,0,0,0,0,0,0
Sekarang bisa transfer file gede pakai AirDrop dalam hitungan detik,,Now you can transfer big files using airdrop in seconds,0,,Sekarang bisa transfer file gede pakai AirDrop dalam hitungan detik ,2,0,0,0,0,0,0,0,0,0,0,0
Sinyal 5G di iPhone 16 super stabil nonton YouTube tanpa buffering,,5G signal on the iPhone 16 super stable watching YouTube without buffering,2,,Sinyal 5G di iPhone 16 super stabil nonton YouTube tanpa buffering ,2,0,0,0,0,0,0,0,0,0,0,0
Streaming film 4K tanpa buffering gambarnya jernih banget,,Streaming the 4K movie without buffering the picture is very clear,2,,Streaming film 4K tanpa buffering gambarnya jernih banget ,2,0,0,0,0,0,0,0,0,0,0,0
Sinyal lemah banget susah buat internetan,,The signal is really weak for the internet,1,,Sinyal lemah banget susah buat internetan ,1,0,0,0,0,0,0,0,0,0,0,0
Sekarang bisa main game multiplayer di tempat umum tanpa lag!,,Now you can play multiplayer games in public places without lag!,2,,Sekarang bisa main game multiplayer di tempat umum tanpa lag! ,0,0,0,0,0,0,0,0,0,0,0,0
Sering ada delay saat kirim pesan di WhatsApp!,,Often there is a delay when sending messages on WhatsApp!,1,,Sering ada delay saat kirim pesan di WhatsApp! ,1,0,0,0,0,0,0,0,0,0,0,0
Upload foto aja lama banget bikin kesel,,Upload photos for a long time to make it upset,1,,Upload foto aja lama banget bikin kesel ,1,0,0,0,0,0,0,0,0,0,0,0
5G di iPhone 16 bikin pengalaman internetan lebih seamless,,5G on the iPhone 16 makes internet experience more seamless,0,,5G di iPhone 16 bikin pengalaman internetan lebih seamless ,2,0,0,0,0,0,0,0,0,0,0,0
Streaming musik lossless tanpa buffering Bisa banget,,Streaming lossless music without buffering can really,0,,Streaming musik lossless tanpa buffering Bisa banget ,2,0,0,0,0,0,0,0,0,0,0,0
Sering putus saat pakai tethering ke laptop!,,Often break up when using tethering to a laptop!,0,,Sering putus saat pakai tethering ke laptop! ,1,0,0,0,0,0,0,0,0,0,0,0
Sekarang bisa nelpon dengan HD Voice suara jadi lebih jernih,,Now you can call with HD voice voice to be clearer,0,,Sekarang bisa nelpon dengan HD Voice suara jadi lebih jernih ,2,0,0,0,0,0,0,0,0,0,0,0
5G mmWave di iPhone 16 bikin kecepatan internet makin gokil,,5g mmwave on the iPhone 16 makes the internet speed even more crazy,1,,5G mmWave di iPhone 16 bikin kecepatan internet makin gokil ,2,0,0,0,0,0,0,0,0,0,0,0
Sering gagal upload video ke media sosial!,,Often failed to upload videos to social media!,1,,Sering gagal upload video ke media sosial! ,1,0,0,0,0,0,0,0,0,0,0,0
Download aplikasi sering gagal karena jaringan nggak stabil.,,Download applications often fail because the network is unstable.,1,,Download aplikasi sering gagal karena jaringan nggak stabil. ,1,0,0,0,0,0,0,0,0,0,0,0
5G Ultra Wideband bikin internetan lebih ngebut daripada WiFi,,5G Ultra Wideband Makes Surapan Speed ââmore than WiFi,0,,5G Ultra Wideband bikin internetan lebih ngebut daripada WiFi ,2,0,0,0,0,0,0,0,0,0,0,0
Nggak pernah ngalamin internet lemot lagi selalu lancar,,Never experienced slow internet again always smooth,0,,Nggak pernah ngalamin internet lemot lagi selalu lancar ,2,0,0,0,0,0,0,0,0,0,0,0
"Streaming sering buffering, padahal sinyal full bar.",,"Streaming is often buffering, even though the full bar signal.",0,,"Streaming sering buffering, padahal sinyal full bar. ",1,0,0,0,0,0,0,0,0,0,0,0
Jaringan 5G lebih sering putus dibanding 4G!,,5G networks broke more often than 4G!,1,,Jaringan 5G lebih sering putus dibanding 4G! ,0,0,0,0,0,0,0,0,0,0,0,0
Udah seminggu pakai iPhone 16 dan jaringan nggak pernah ngelag,,It's been a week using the iPhone 16 and the network never laughed,1,,Udah seminggu pakai iPhone 16 dan jaringan nggak pernah ngelag ,0,0,0,0,0,0,0,0,0,0,0,0
Streaming Spotify lossless tanpa buffering sama sekali.,,Streaming Spotify Lossless without buffering at all.,0,,Streaming Spotify lossless tanpa buffering sama sekali. ,2,0,0,0,0,0,0,0,0,0,0,0
"Update aplikasi nggak pernah gagal, internet super stabil!",,"The application update never fails, the internet is super stable!",2,,"Update aplikasi nggak pernah gagal, internet super stabil! ",2,0,0,0,0,0,0,0,0,0,0,0
iPhone 16 Pro dengan kecepatan 5G lebih tinggi karena modem baru #iPhone16Pro $APPL Via @EvanKirstel,,iPhone 16 Pro with a speed of 5G higher because the new modem #iPhone16pro $ appl via @evankirstel,0,,iPhone 16 Pro dengan kecepatan 5G lebih tinggi karena modem baru #iPhone16Pro $APPL Via @EvanKirstel ,2,0,0,0,0,0,0,0,0,0,0,0
Nggak ada lagi telpon putusputus kualitas jaringan makin solid,,No more phone calls to get the quality of the network more solid,1,,Nggak ada lagi telpon putusputus kualitas jaringan makin solid ,2,0,0,0,0,0,0,0,0,0,0,0
"Tiap update iOS, jaringan makin bermasalah.",,"Every iOS update, the network is more problematic.",1,,"Tiap update iOS, jaringan makin bermasalah. ",1,0,0,1,0,0,0,0,0,0,0,0
Transfer file antar perangkat Apple makin cepat pakai WiFi Direct,,Transfer files between Apple devices faster using direct wifi,0,,Transfer file antar perangkat Apple makin cepat pakai WiFi Direct ,2,0,0,0,0,0,0,0,2,0,0,0
Kualitas jaringan bikin pengalaman gaming jadi lebih nyaman.,,Network quality makes gaming experience more comfortable.,2,,Kualitas jaringan bikin pengalaman gaming jadi lebih nyaman. ,0,0,0,0,0,0,0,0,0,0,0,0
Bluetooth di iPhone 16 susah connect ke headset lama.,,Bluetooth on iPhone 16 is hard to connect to the old headset.,1,,Bluetooth di iPhone 16 susah connect ke headset lama. ,1,0,0,0,0,0,0,0,2,0,0,0
Lagi live IG tibatiba koneksi jelek Fix malu banget,,Again live ig suddenly a bad connection fix is ââvery embarrassed,1,,Lagi live IG tibatiba koneksi jelek Fix malu banget ,1,0,0,0,0,0,0,0,0,0,0,0
"Bluetooth sering disconnect sendiri, ganggu banget!",,"Bluetooth often disconnect itself, really annoying!",1,,"Bluetooth sering disconnect sendiri, ganggu banget! ",0,0,0,0,0,0,0,0,0,0,0,0
Dulu di daerahku susah sinyal sekarang iPhone 16 lancar banget,,Previously in my area it was difficult for the signal now iPhone 16 was very smooth,1,,Dulu di daerahku susah sinyal sekarang iPhone 16 lancar banget ,2,0,0,0,0,0,0,0,0,0,0,0
Sekarang bisa melakukan video call tanpa lag.,,Now you can do a video call without lag.,2,,Sekarang bisa melakukan video call tanpa lag. ,2,0,0,0,0,0,0,0,0,0,0,0
Main PUBG di 5G tanpa lag jadi makin jago nih,,Playing PUBG on 5G without lag so it's getting better,2,,Main PUBG di 5G tanpa lag jadi makin jago nih ,2,0,0,0,0,0,0,0,0,0,0,0
Tidak ada gangguan jaringan meskipun hujan deras.,,There is no tissue interference despite heavy rain.,1,,Tidak ada gangguan jaringan meskipun hujan deras. ,0,0,0,0,0,0,0,0,0,0,0,0
Pakai Dual SIM eSIM jadi lebih fleksibel buat kerja pribadi,,Use Dual Sim Esim to be more flexible for personal work,2,,Pakai Dual SIM eSIM jadi lebih fleksibel buat kerja pribadi ,2,0,0,0,0,0,0,0,0,0,0,0
Download game online besar cuma hitungan menit keren,,Download Big Online Games Only Cool Minutes,2,,Download game online besar cuma hitungan menit keren ,2,0,0,0,0,0,0,0,0,0,0,0
Antenna di iPhone 16 lebih kuat dibanding generasi sebelumnya.,,Antenna on the iPhone 16 is stronger than the previous generation.,2,,Antenna di iPhone 16 lebih kuat dibanding generasi sebelumnya. ,2,0,0,0,0,0,0,0,0,0,0,0
Upload foto ke Instagram langsung beres nggak pake loading,,Upload photos to Instagram immediately or not using loading,0,,Upload foto ke Instagram langsung beres nggak pake loading ,2,0,0,0,0,0,0,0,0,0,0,0
Ngobrol di Discord sambil jalan jauh sinyal tetap kuat,,Chatting in discord while walking far the signal remains strong,2,,Ngobrol di Discord sambil jalan jauh sinyal tetap kuat ,2,0,0,0,0,0,0,0,0,0,0,0
Download lemot banget kayak siput,,Download really slow like a snail,2,,Download lemot banget kayak siput ,1,0,0,0,0,0,0,0,0,0,0,0
Sinyal suka tiba-tiba ilang meskipun di tengah kota.,,The signal likes to suddenly disappear even in the middle of the city.,2,,Sinyal suka tiba-tiba ilang meskipun di tengah kota. ,1,0,0,0,0,0,0,0,0,0,0,0
Video call suka ngelag gambarnya patahpatah,,Video call likes to lag the picture broken,1,,Video call suka ngelag gambarnya patahpatah ,1,0,0,0,0,0,0,0,0,0,0,0
Dengan carrier aggregation kecepatan internet makin maksimal,,With carrier aggregation internet speed is more optimal,2,,Dengan carrier aggregation kecepatan internet makin maksimal ,2,0,0,0,0,0,0,0,0,0,0,0
Kecepatan download lebih stabil dibanding HP sebelumnya,,The download speed is more stable than the previous cellphone,2,,Kecepatan download lebih stabil dibanding HP sebelumnya ,2,0,0,0,0,0,0,0,0,0,0,0
"Saat cuaca buruk, jaringan tetap stabil!",,"When the weather is bad, the network remains stable!",1,,"Saat cuaca buruk, jaringan tetap stabil! ",0,0,0,0,0,0,0,0,0,0,0,0
Tethering dari iPhone 16 ke laptop sering disconnect.,,Tethering from iPhone 16 to a laptop is often disconnect.,0,,Tethering dari iPhone 16 ke laptop sering disconnect. ,1,0,0,0,0,0,0,0,0,0,0,0
Tidak ada lagi masalah koneksi WiFi yang sering drop.,,There is no more WiFi connection problem that often drops.,1,,Tidak ada lagi masalah koneksi WiFi yang sering drop. ,0,0,0,0,0,0,0,0,0,0,0,0
Bluetooth susah nyambung ke beberapa perangkat ngeselin,,Bluetooth is hard to connect to some ngeselin devices,1,,Bluetooth susah nyambung ke beberapa perangkat ngeselin ,0,0,0,0,0,0,0,0,2,0,0,0
Boros baterai HP cepet habis,,Wasteful of HP batteries run out quickly,0,,Boros baterai HP cepet habis ,1,0,0,0,0,0,0,0,0,0,1,0
Koneksi Bluetooth suka lemah meskipun perangkat deketan!,,Bluetooth connection likes to be weak even though the device is close!,1,,Koneksi Bluetooth suka lemah meskipun perangkat deketan! ,1,0,0,0,0,0,0,0,2,0,0,0
Baru sadar 5G itu game changer pas nyobain iPhone 16,,Just realized that 5G was a game changer when I tried the iPhone 16,0,,Baru sadar 5G itu game changer pas nyobain iPhone 16 ,0,0,0,0,0,0,0,0,0,0,0,0
Kadang harus restart HP supaya jaringan normal lagi.,,Sometimes you have to restart the cellphone so that the network is normal again.,0,,Kadang harus restart HP supaya jaringan normal lagi. ,1,0,0,0,0,0,0,0,0,0,0,0
Sering gagal nelpon karena sinyal tiba-tiba hilang.,,Often fail to call because the signal suddenly disappears.,1,,Sering gagal nelpon karena sinyal tiba-tiba hilang. ,1,0,0,0,0,0,0,0,0,0,0,0
Main Zoom 4 jam nonstop nggak ada drop koneksi,,Play Zoom 4 Hours Nonstop No Drop Connection,1,,Main Zoom 4 jam nonstop nggak ada drop koneksi ,2,0,0,0,0,0,0,0,0,0,0,0
Bluetooth di iPhone 16 lebih responsif dibanding sebelumnya.,,Bluetooth on the iPhone 16 is more responsive than before.,2,,Bluetooth di iPhone 16 lebih responsif dibanding sebelumnya. ,0,0,0,0,0,0,0,0,2,0,0,0
Tiap kali update iOS jaringan malah makin kacau,,Every time the iOS network update is even more chaotic,1,,Tiap kali update iOS jaringan malah makin kacau ,1,0,0,1,0,0,0,0,0,0,0,0
Kenapa jaringan suka drop pas di area dengan banyak orang?,,Why does the network like to drop right in the area with many people?,2,,Kenapa jaringan suka drop pas di area dengan banyak orang? ,1,0,0,0,0,0,0,0,0,0,0,0
Upload video ke YouTube cepet banget nggak pake ribet,,Upload videos to YouTube really don't use complicated,0,,Upload video ke YouTube cepet banget nggak pake ribet ,2,0,0,0,0,0,0,0,0,0,0,0
Koneksi internet stabil kerjaan jadi lebih produktif,,Stable internet connection work to be more productive,2,,Koneksi internet stabil kerjaan jadi lebih produktif ,2,0,0,0,0,0,0,0,0,0,0,0
Bluetooth susah konek ngeselin banget,,Bluetooth is hard to connect,1,,Bluetooth susah konek ngeselin banget ,1,0,0,0,0,0,0,0,2,0,0,0
"Dengan jaringan 5G, browsing terasa lebih seamless.",,"With a 5G network, browsing feels more seamless.",0,,"Dengan jaringan 5G, browsing terasa lebih seamless. ",0,0,0,0,0,0,0,0,0,0,0,0
"Jaringan 5G kadang lemot, lebih baik balik ke 4G aja!",,"5G networks are sometimes slow, it's better to return to 4G!",2,,"Jaringan 5G kadang lemot, lebih baik balik ke 4G aja! ",0,0,0,0,0,0,0,0,0,0,0,0
Sinyal WiFi suka lemot pas pakai banyak device.,,Wifi signal likes slow when using a lot of devices.,2,,Sinyal WiFi suka lemot pas pakai banyak device. ,1,0,0,0,0,0,0,0,0,0,0,0
Koneksi Bluetooth kadang terputus sendiri.,,Bluetooth connections are sometimes cut off alone.,1,,Koneksi Bluetooth kadang terputus sendiri. ,1,0,0,0,0,0,0,0,2,0,0,0
Pindah lokasi dikit sinyal langsung ilang Payah,,Moving Locations a little signal immediately lost lousy,1,,Pindah lokasi dikit sinyal langsung ilang Payah ,1,0,0,0,0,0,0,0,0,0,0,0
Internet nggak ngedrop meskipun banyak orang pakai WiFi bersamaan.,,The internet does not drop even though many people use wifi together.,2,,Internet nggak ngedrop meskipun banyak orang pakai WiFi bersamaan. ,2,0,0,0,0,0,0,0,0,0,0,0
Download film HD cuma sekejap nggak perlu nunggu lama,,Download HD movies just a moment no need to wait long,1,,Download film HD cuma sekejap nggak perlu nunggu lama ,0,0,0,0,0,0,0,0,0,0,0,0
Koneksi data di iPhone 16 lebih lemot dibanding Android teman.,,Data connection on the iPhone 16 is more slow than Android Friends.,2,,Koneksi data di iPhone 16 lebih lemot dibanding Android teman. ,1,0,0,0,0,0,0,0,0,0,0,0
Telpon pakai FaceTime Audio lebih jernih dibanding panggilan biasa,,Phone using facetime audio is clearer than the usual call,0,,Telpon pakai FaceTime Audio lebih jernih dibanding panggilan biasa ,0,0,0,0,0,0,0,0,0,0,0,0
Internet tetap kencang walaupun pakai VPN.,,The internet remains fast even though using VPN.,0,,Internet tetap kencang walaupun pakai VPN. ,2,0,0,0,0,0,0,0,0,0,0,0
Hotspot suka mati sendiri tanpa alasan!,,Hotspot likes to die alone for no reason!,1,,Hotspot suka mati sendiri tanpa alasan! ,1,0,0,0,0,0,0,0,0,0,0,0
Sinyal tetap kuat walaupun di area terpencil!,,The signal remains strong even in remote areas!,2,,Sinyal tetap kuat walaupun di area terpencil! ,2,0,0,0,0,0,0,0,0,0,0,0
Buka Maps di daerah terpencil GPS tetap akurat,,Open maps in remote areas of GPS remains accurate,0,,Buka Maps di daerah terpencil GPS tetap akurat ,2,0,0,0,0,0,0,0,0,0,0,0
Gonta-ganti WiFi kadang bikin koneksi putus.,,Turning wifi sometimes makes the connection break up.,0,,Gonta-ganti WiFi kadang bikin koneksi putus. ,1,0,0,0,0,0,0,0,0,0,0,0
Jaringan selalu jelek saat di transportasi umum!,,The network is always bad when in public transportation!,1,,Jaringan selalu jelek saat di transportasi umum! ,0,0,0,0,0,0,0,0,0,0,0,0
Pakai 5G bikin upload video ke media sosial lebih cepat!,,Use 5G make upload videos to social media faster!,0,,Pakai 5G bikin upload video ke media sosial lebih cepat! ,2,0,0,0,0,0,0,0,0,0,0,0
Internet nggak stabil suka putusputus,,The internet is not stable like to break up,1,,Internet nggak stabil suka putusputus ,1,0,0,0,0,0,0,0,0,0,0,0
"Pakai dual SIM, sering ada masalah jaringan di salah satu kartu!",,"Use dual SIM, there are often network problems on one card!",1,,"Pakai dual SIM, sering ada masalah jaringan di salah satu kartu! ",0,0,0,0,0,0,0,0,0,0,0,0
Koneksi hotspot iPhone 16 lebih stabil dibanding HP Android temen,,IPhone 16 hotspot connection is more stable than a friend's android phone,2,,Koneksi hotspot iPhone 16 lebih stabil dibanding HP Android temen ,2,0,0,0,0,0,0,0,0,0,0,0
5G di iPhone 16 malah bikin baterai boros dan jaringan nggak stabil!,,5G on the iPhone 16 actually makes the battery wasteful and the network is unstable!,1,,5G di iPhone 16 malah bikin baterai boros dan jaringan nggak stabil! ,0,0,0,0,0,0,0,0,0,0,1,0
Jaringan tetap lancar walau banyak orang pakai WiFi yang sama,,The network remains smooth even though many people use the same wifi,0,,Jaringan tetap lancar walau banyak orang pakai WiFi yang sama ,0,0,0,0,0,0,0,0,0,0,0,0
Bluetooth kadang nggak mau connect ke speaker.,,Bluetooth sometimes doesn't want to connect to the speaker.,1,,Bluetooth kadang nggak mau connect ke speaker. ,1,0,0,0,0,0,0,0,2,0,0,0
"Kadang panggilan telepon nggak bisa masuk, harus restart HP!",,"Sometimes phone calls can't come in, you have to restart your cellphone!",0,,"Kadang panggilan telepon nggak bisa masuk, harus restart HP! ",1,0,0,0,0,0,0,0,0,0,0,0
Kenapa WiFi calling di iPhone suka delay Bikin frustasi,,Why WiFi Calling On The iPhone Likes to Delay Make Frustration,1,,Kenapa WiFi calling di iPhone suka delay Bikin frustasi ,1,0,0,0,0,0,0,0,0,0,0,0
Sekarang video call nggak patahpatah lagi kualitas stabil banget,,Now the video call is no longer a very stable quality,2,,Sekarang video call nggak patahpatah lagi kualitas stabil banget ,2,0,0,0,0,0,0,0,0,0,0,0
Panggilan VoLTE suaranya super jernih serasa ngobrol langsung,,Volte's calling is super clear voice feels like chatting directly,2,,Panggilan VoLTE suaranya super jernih serasa ngobrol langsung ,2,0,0,0,0,0,0,0,0,0,0,0
"Nggak bisa connect ke WiFi di tempat umum, selalu minta reconnect!",,"Can't connect to wifi in public places, always ask for reconnect!",0,,"Nggak bisa connect ke WiFi di tempat umum, selalu minta reconnect! ",0,0,0,0,0,0,0,0,0,0,0,0
Signal booster bawaan iPhone bikin sinyal makin kuat dimanamana,,IPhone's default signal booster makes the signal stronger where,2,,Signal booster bawaan iPhone bikin sinyal makin kuat dimanamana ,2,0,0,0,0,0,0,0,0,0,0,0
Susah dapet sinyal di dalam lift HP lain nggak gitu,,It's hard to get a signal in another cellphone elevator,1,,Susah dapet sinyal di dalam lift HP lain nggak gitu ,1,0,0,0,0,0,0,0,0,0,0,0
Pakai WiFi 6 kecepatan download hampir 1Gbps Nggak percaya Aku juga,,Use WiFi 6 Speed ââDownload Nearly 1Gbps Don't Believe Me Either,0,,Pakai WiFi 6 kecepatan download hampir 1Gbps Nggak percaya Aku juga ,2,0,0,0,0,0,0,0,2,0,0,0
